no,업력,지역,업종,멘토링,세무,신용등급,이행보증,연계지원,자금,절차간소화
489,3년미만,서울,잡화,3,3,3,3,3,3,3
490,1년미만,강원,기타,5,5,5,5,5,5,3
491,1년미만,서울,기타,3,2,4,4,4,4,3
492,1년미만,경기,전자,3,3,4,5,5,5,5
493,3년미만,인천,기계,3,3,5,5,5,5,5
494,5년미만,경기,유통,4,4,3,3,4,4,3
495,1년미만,경기,잡화,4,4,5,5,5,5,5
496,3년미만,경기,유통,4,4,5,5,5,5,5
497,1년미만,경기,화공,4,4,5,4,5,5,4
498,3년미만,서울,기타,3,3,4,4,4,5,4
499,5년미만,경기,기타,5,5,5,5,5,5,5
500,7년미만,경기,화공,3,3,5,5,5,5,5
501,1년미만,서울,잡화,5,4,5,5,5,5,5
502,3년미만,경북,유통,5,5,5,5,5,5,5
503,1년미만,대전,유통,5,5,5,5,5,4,1
504,5년미만,서울,잡화,2,2,3,3,4,4,4
505,1년미만,대전,전기,4,4,5,5,5,5,5
